RL-GNN-HIER,RAN
10,2
6,2
5,2
7,2
7,6
7,2
4,2
3,2
3,4
8,4
11,3
8,2
7,4
6,7
7,2
13,2
12,4
3,2
9,2
7,2
10,4
7,2
8,5
2,2
10,5
2,4
10,6
7,2
10,5
5,3
7,5
11,3
2,2
15,4
4,2
11,2
6,3
14,3
10,3
10,2
15,4
3,2
3,4
5,4
6,2
5,2
8,2
14,2
7,6
10,3
14,2
5,2
6,4
7,2
8,2
8,7
5,3
2,2
10,2
7,2
7,2
15,2
10,2
8,3
4,2
12,2
10,4
11,4
8,5
10,2
3,4
9,3
3,3
8,5
8,6
3,2
5,3
11,3
7,4
10,3
7,2
8,2
6,3
15,2
2,2
6,7
4,4
6,6
7,3
6,2
13,2
7,2
9,4
5,4
3,4
3,4
7,2
6,2
11,2
4,6
5,6
3,3
4,6
6,6
11,3
5,2
12,5
3,4
2,2
7,6
7,2
13,3
9,3
7,2
3,4
3,7
11,5
6,2
11,2
5,4
3,2
3,3
4,6
5,5
5,2
5,6
4,4
6,4
6,3
7,2
6,4
3,4
7,3
14,3
5,2
4,5
8,2
6,2
9,3
8,2
13,2
4,2
15,2
4,4
6,2
8,6
15,2
4,2
10,3
7,2
7,2
3,4
4,2
7,6
4,2
4,5
8,3
4,3
5,5
6,3
8,2
12,2
15,4
5,5
3,3
9,2
4,3
4,4
7,2
8,4
6,3
7,3
4,4
9,2
4,3
7,2
6,4
7,2
6,4
2,2
6,6
5,4
7,5
14,2
4,6
7,3
7,2
2,4
9,2
7,3
7,3
6,2
5,3
9,2
5,2
4,2
8,3
4,2
3,4
8,2
7,2
7,4
7,2
11,7
2,9
4,4
3,2
12,2
3,2
4,3
6,3
5,6
5,4
10,2
10,4
4,7
9,2
6,4
3,9
6,2
3,9
6,2
8,2
9,2
7,2
2,4
9,2
9,2
7,2
10,4
14,2
6,3
10,2
5,2
3,2
3,5
6,4
5,4
4,2
7,2
4,5
3,2
3,4
6,3
8,5
3,2
7,7
7,2
5,3
4,2
10,7
16,4
5,7
3,8
4,4
6,4
12,2
5,4
5,2
7,2
2,2
9,2
6,2
2,5
6,5
3,3
3,3
3,4
4,3
7,5
5,2
12,4
4,2
8,2
3,5
6,3
4,2
9,5
2,2
13,3
6,2
9,4
3,2
4,2
10,2
3,2
4,4
3,4
6,2
6,2
5,2
4,3
5,2
2,5
4,3
4,2
15,3
8,2
5,2
11,3
6,3
6,5
3,2
2,2
7,2
7,2
4,7
9,2
5,12
8,4
5,3
3,5
11,4
6,2
6,4
10,2
12,3
13,5
5,2
7,2
2,3
8,4
3,2
3,2
5,3
10,3
9,2
13,3
16,5
5,2
3,4
7,4
10,3
12,2
4,2
2,5
7,5
6,3
10,5
3,3
3,2
4,3
3,2
9,2
7,2
